Country,discipline,Time_Interval,Papers
Afghanistan,Arts,2003-2007,1.0
Afghanistan,Biology,1973-1977,3.833333333333332
Afghanistan,Biology,1978-1982,7.166666666666666
Afghanistan,Biology,1983-1987,5.333333333333333
Afghanistan,Biology,1988-1992,0.5
Afghanistan,Biology,2003-2007,2.166666666666666
Afghanistan,Biology,2008-2012,7.916666666666658
Afghanistan,Biology,2013-2017,6.646825396825384
Afghanistan,Biomedical Research,1973-1977,3.15
Afghanistan,Biomedical Research,1978-1982,3.583333333333326
Afghanistan,Biomedical Research,1983-1987,1.0
Afghanistan,Biomedical Research,1988-1992,0.333333333333333
Afghanistan,Biomedical Research,1993-1997,1.0
Afghanistan,Biomedical Research,2003-2007,0.428571428571428
Afghanistan,Biomedical Research,2008-2012,3.272023809523808
Afghanistan,Biomedical Research,2013-2017,6.121398046398039
Afghanistan,Chemistry,1978-1982,1.0
Afghanistan,Chemistry,1988-1992,0.5
Afghanistan,Chemistry,2008-2012,0.5
Afghanistan,Chemistry,2013-2017,2.498484848484844
Afghanistan,Clinical Medicine,1973-1977,14.916666666666666
Afghanistan,Clinical Medicine,1978-1982,14.0
Afghanistan,Clinical Medicine,1983-1987,10.0
Afghanistan,Clinical Medicine,1988-1992,8.0
Afghanistan,Clinical Medicine,1998-2002,1.166666666666666
Afghanistan,Clinical Medicine,2003-2007,11.616666666666639
Afghanistan,Clinical Medicine,2008-2012,44.777380952380895
Afghanistan,Clinical Medicine,2013-2017,46.27389791437642
Afghanistan,Earth and Space,1973-1977,1.5
Afghanistan,Earth and Space,1978-1982,1.0
Afghanistan,Earth and Space,2003-2007,0.833333333333333
Afghanistan,Earth and Space,2008-2012,2.111111111111111
Afghanistan,Earth and Space,2013-2017,2.519047619047618
Afghanistan,Engineering and Technology,1973-1977,0.5
Afghanistan,Engineering and Technology,1988-1992,0.333333333333333
Afghanistan,Engineering and Technology,2003-2007,0.5
Afghanistan,Engineering and Technology,2008-2012,0.833333333333333
Afghanistan,Engineering and Technology,2013-2017,1.616666666666666
Afghanistan,Health,2003-2007,1.166666666666666
Afghanistan,Health,2008-2012,7.709523809523807
Afghanistan,Health,2013-2017,28.253626737771548
Afghanistan,Humanities,2008-2012,2.0
Afghanistan,Humanities,2013-2017,1.833333333333333
Afghanistan,Mathematics,1973-1977,1.5
Afghanistan,Mathematics,1978-1982,3.0
Afghanistan,Mathematics,2013-2017,1.0
Afghanistan,Physics,1973-1977,2.0
Afghanistan,Physics,2008-2012,0.166666666666666
Afghanistan,Professional Fields,1998-2002,0.666666666666666
Afghanistan,Professional Fields,2003-2007,1.0
Afghanistan,Professional Fields,2008-2012,2.833333333333333
Afghanistan,Professional Fields,2013-2017,4.7333333333333325
Afghanistan,Psychology,2003-2007,1.0
Afghanistan,Psychology,2008-2012,0.25
Afghanistan,Psychology,2013-2017,0.5
Afghanistan,Social Sciences,1973-1977,1.833333333333333
Afghanistan,Social Sciences,1978-1982,2.0
Afghanistan,Social Sciences,2003-2007,3.4
Afghanistan,Social Sciences,2008-2012,9.0
Afghanistan,Social Sciences,2013-2017,7.066666666666665
Albania,Arts,1983-1987,1.0
Albania,Arts,2003-2007,1.5
Albania,Arts,2008-2012,0.8
Albania,Arts,2013-2017,0.142857142857142
Albania,Biology,1983-1987,0.5
Albania,Biology,1988-1992,1.0
Albania,Biology,1993-1997,12.24999999999999
Albania,Biology,1998-2002,11.616666666666662
Albania,Biology,2003-2007,8.922222222222217
Albania,Biology,2008-2012,30.430891330891278
Albania,Biology,2013-2017,48.93241762312717
Albania,Biomedical Research,1988-1992,1.142857142857142
Albania,Biomedical Research,1993-1997,4.292647058823522
Albania,Biomedical Research,1998-2002,6.426190476190476
Albania,Biomedical Research,2003-2007,9.66777798075751
Albania,Biomedical Research,2008-2012,19.81666666666665
Albania,Biomedical Research,2013-2017,27.421103711812616
Albania,Chemistry,1978-1982,0.833333333333333
Albania,Chemistry,1983-1987,1.166666666666666
Albania,Chemistry,1988-1992,17.733333333333334
Albania,Chemistry,1993-1997,15.333333333333307
Albania,Chemistry,1998-2002,18.249999999999975
Albania,Chemistry,2003-2007,4.166666666666662
Albania,Chemistry,2008-2012,22.416666666666664
Albania,Chemistry,2013-2017,21.5130952380952
Albania,Clinical Medicine,1978-1982,1.0
Albania,Clinical Medicine,1983-1987,5.833333333333333
Albania,Clinical Medicine,1988-1992,13.0
Albania,Clinical Medicine,1993-1997,22.25
Albania,Clinical Medicine,1998-2002,15.383333333333331
Albania,Clinical Medicine,2003-2007,21.97539682539681
Albania,Clinical Medicine,2008-2012,70.14269364529402
Albania,Clinical Medicine,2013-2017,118.70596836219727
Albania,Earth and Space,1978-1982,2.0
Albania,Earth and Space,1988-1992,7.56666666666666
Albania,Earth and Space,1993-1997,30.57424242424239
Albania,Earth and Space,1998-2002,22.3333333333333
Albania,Earth and Space,2003-2007,15.166666666666657
Albania,Earth and Space,2008-2012,114.05595238095208
Albania,Earth and Space,2013-2017,110.95187991325541
Albania,Engineering and Technology,1983-1987,0.5
Albania,Engineering and Technology,1988-1992,4.333333333333333
Albania,Engineering and Technology,1993-1997,6.1666666666666625
Albania,Engineering and Technology,1998-2002,12.583333333333329
Albania,Engineering and Technology,2003-2007,6.249999999999999
Albania,Engineering and Technology,2008-2012,25.49999999999998
Albania,Engineering and Technology,2013-2017,40.446825396825346
Albania,Health,1993-1997,0.666666666666666
Albania,Health,2003-2007,3.083333333333326
Albania,Health,2008-2012,5.759956709956691
Albania,Health,2013-2017,13.299999999999992
Albania,Humanities,1978-1982,1.0
Albania,Humanities,1998-2002,1.0
Albania,Humanities,2008-2012,1.0
Albania,Humanities,2013-2017,3.5
Albania,Mathematics,1978-1982,0.5
Albania,Mathematics,1983-1987,0.5
Albania,Mathematics,1988-1992,1.0
Albania,Mathematics,1998-2002,4.0
Albania,Mathematics,2003-2007,3.25
Albania,Mathematics,2008-2012,13.366666666666667
Albania,Mathematics,2013-2017,26.58333333333332
Albania,Physics,1988-1992,2.833333333333333
Albania,Physics,1993-1997,10.699999999999996
Albania,Physics,1998-2002,1.5
Albania,Physics,2003-2007,6.7047619047619
Albania,Physics,2008-2012,6.349999999999993
