Time_Interval,Income_Group,Metric,Mean,CI_Lower,CI_Upper,N_Countries
1973-1977,Low,Publications,1267.169099348761,98.79396154130819,3438.721220203055,41
1973-1977,Low,Diversity,0.3221180894578964,0.273123417590238,0.36895897978831027,41
1973-1977,Lower middle,Publications,802.9330711433089,237.11503721783805,1613.4882965948811,53
1973-1977,Lower middle,Diversity,0.33292395454058366,0.2862834985545599,0.38219271218098194,53
1973-1977,Upper middle,Publications,6347.073883921496,629.1354602335819,17387.74426314538,26
1973-1977,Upper middle,Diversity,0.4007811157931827,0.3209096936635657,0.48001399722355104,26
1973-1977,High,Publications,42359.79755083911,13780.135690332025,86454.49828737394,34
1973-1977,High,Diversity,0.5296981236510996,0.4430335061946277,0.6047904272184564,34
1978-1982,Low,Publications,2017.0622395558344,163.783845587847,5316.736916640262,41
1978-1982,Low,Diversity,0.33879953579008737,0.2909472718388727,0.38430025619523983,41
1978-1982,Lower middle,Publications,1229.1507262124474,410.2826468845285,2529.3176752350373,50
1978-1982,Lower middle,Diversity,0.38024075855150996,0.33006828407956273,0.43422855352571554,50
1978-1982,Upper middle,Publications,7862.024237864955,926.150524423038,21201.257686397326,26
1978-1982,Upper middle,Diversity,0.4195482649969502,0.3424332465457533,0.49151071136975283,26
1978-1982,High,Publications,55040.7438032523,18725.666297381762,110272.97952445294,34
1978-1982,High,Diversity,0.5619259251231451,0.4770919169423511,0.6353583402755414,34
1983-1987,Low,Publications,2243.673140043112,187.88298854308204,6052.492566580846,43
1983-1987,Low,Diversity,0.3354219020530175,0.2946743167591934,0.37643750171714585,43
1983-1987,Lower middle,Publications,1376.185815306049,486.82324109189796,2594.827155817902,52
1983-1987,Lower middle,Diversity,0.37019165471071613,0.31735138258959333,0.4209240672317139,52
1983-1987,Upper middle,Publications,8834.283206053999,1161.7259675578075,23360.857847531854,27
1983-1987,Upper middle,Diversity,0.40956681006182205,0.3287849801953082,0.4816562633208313,27
1983-1987,High,Publications,65140.0827278018,22968.04567575294,129079.52640821197,34
1983-1987,High,Diversity,0.5807152300379732,0.49840161146064343,0.6542348226635174,34
1988-1992,Low,Publications,2716.7406267298124,310.5588227235111,6507.125232285765,46
1988-1992,Low,Diversity,0.3275997182232512,0.289859518045888,0.3649394585275418,46
1988-1992,Lower middle,Publications,998.4341088733966,404.36571732149594,1956.5072782041352,64
1988-1992,Lower middle,Diversity,0.3700000701546715,0.3306609183990942,0.41432039853961705,64
1988-1992,Upper middle,Publications,9400.753178465922,1916.6682948449272,22163.52829580918,29
1988-1992,Upper middle,Diversity,0.4635812109696641,0.39808183936400854,0.5317378475861223,29
1988-1992,High,Publications,71378.98876003668,26167.194801149337,138138.637525064,35
1988-1992,High,Diversity,0.5792245516602117,0.4963760363268953,0.6581307090433179,35
1993-1997,Low,Publications,2547.9866730199,258.03109898648586,6019.417414162188,58
1993-1997,Low,Diversity,0.36128732292505683,0.3295567894025822,0.39092027716500666,58
1993-1997,Lower middle,Publications,4133.375755700317,1222.096695238068,9324.591027481105,55
1993-1997,Lower middle,Diversity,0.39276033700299917,0.34573399812282324,0.435714636731572,55
1993-1997,Upper middle,Publications,4791.846391264515,2458.0707783139133,7408.15270018971,26
1993-1997,Upper middle,Diversity,0.5005307341161259,0.42210718612484144,0.5679293920370603,26
1993-1997,High,Publications,81690.27446033579,32689.984491433286,153689.01901532803,36
1993-1997,High,Diversity,0.6214166863690923,0.5478169319023752,0.6859629077090751,36
1998-2002,Low,Publications,2107.1285393881108,302.1177679080494,5616.5427699990005,56
1998-2002,Low,Diversity,0.3661162782142826,0.3350984545925438,0.3968373469623076,56
1998-2002,Lower middle,Publications,7040.49592338369,1393.010464086862,14535.971607402442,48
1998-2002,Lower middle,Diversity,0.4095747593829732,0.3645656747424482,0.4585718516011275,48
1998-2002,Upper middle,Publications,8402.293136554981,3436.885469279619,14031.124297672184,30
1998-2002,Upper middle,Diversity,0.4981896430711975,0.4252773225066545,0.5638101790083022,30
1998-2002,High,Publications,83405.05307398818,34331.36691062062,152726.6196076138,38
1998-2002,High,Diversity,0.6428672467005293,0.5786410582483452,0.7002550811812213,38
2003-2007,Low,Publications,3004.6059673802456,318.50655375389346,8028.573443220501,47
2003-2007,Low,Diversity,0.39569726425187157,0.36286427460589027,0.42753886158564813,47
2003-2007,Lower middle,Publications,9880.62486379848,1373.8177343091427,23330.479306729554,50
2003-2007,Lower middle,Diversity,0.41950113986107085,0.37645972366792657,0.45813798469139677,50
2003-2007,Upper middle,Publications,10827.388762342747,5057.0714688292865,19088.671331280588,36
2003-2007,Upper middle,Diversity,0.5074540059460377,0.4435897638411404,0.5660741958684897,36
2003-2007,High,Publications,88896.0677180901,38577.26513981594,158663.16895166194,41
2003-2007,High,Diversity,0.6565790107438417,0.5974098501222466,0.7140147968230108,41
2008-2012,Low,Publications,482.35065954555125,257.0040835451362,775.9137178912353,33
2008-2012,Low,Diversity,0.4317211779297026,0.40119921304277684,0.4649407368755608,33
2008-2012,Lower middle,Publications,6672.619083949514,1102.482472260421,16451.58224660951,43
2008-2012,Lower middle,Diversity,0.439404597520264,0.3940917543506175,0.48710949793285496,43
2008-2012,Upper middle,Publications,28653.695880315114,9040.479601695093,61202.140832358506,47
2008-2012,Upper middle,Diversity,0.5315597268575281,0.48801917268311573,0.5770405896674288,47
2008-2012,High,Publications,86010.27308935522,40423.261019049816,153675.8388685381,52
2008-2012,High,Diversity,0.6644901059638961,0.6117064137878966,0.7113247862777161,52
2013-2017,Low,Publications,579.2199325423411,316.11656485648956,910.2875860622503,27
2013-2017,Low,Diversity,0.4101800289225704,0.37320644762729366,0.4417548540862629,27
2013-2017,Lower middle,Publications,9999.05411487893,2176.6544247750785,24567.481677337666,41
2013-2017,Lower middle,Diversity,0.4913691482368601,0.4595288794120485,0.5240965362339368,41
2013-2017,Upper middle,Publications,40529.18309783752,9308.034924224532,97074.35571272078,52
2013-2017,Upper middle,Diversity,0.5263045597105905,0.4830028555629931,0.5728584503215723,52
2013-2017,High,Publications,91862.51728188178,46183.855559366755,162024.6903359521,55
2013-2017,High,Diversity,0.6833714406089523,0.6380185515289936,0.7262150354505397,55
