Country,Time_Interval,Total_Papers,Diversity,ECI,ECI+,GDP,Nestedness_NODF,Modularity_Q
Afghanistan,1973-1977,29.23333333333333,0.41943907900091204,,,2352888872.6,0.27520515347294855,0.22901721117518653
Afghanistan,1978-1982,31.749999999999993,0.309318069258957,,,3529612937.5,0.2891861082862083,0.22422940460866872
Afghanistan,1983-1987,16.333333333333332,0.13807208217245226,,,,0.26408051080252964,0.21552684594487367
Afghanistan,1988-1992,9.666666666666666,0.19089215220763,,,,0.2608418555255483,0.2757009991570048
Afghanistan,1993-1997,1.0,0.0714285714285714,,,,0.24557021014643515,0.27107123843861186
Afghanistan,1998-2002,1.8333333333333321,0.08630019186928439,,,4055179566.0,0.27282079664694203,0.2625174188578835
Afghanistan,2003-2007,23.111904761904732,0.2749452439892758,,,6534128073.8,0.2596958358994229,0.23727412551345609
Afghanistan,2008-2012,81.37003968253961,0.3734388059908653,,,15242155818.4,0.28717402025853084,0.2308756681103245
Afghanistan,2013-2017,109.06328056290386,0.30188442607287314,,,20101493672.8,0.2709120283792509,0.22884322635683815
Albania,1978-1982,5.333333333333333,0.20809693087713899,0.1926582,-0.267726,,0.2891861082862083,0.22422940460866872
Albania,1983-1987,11.5,0.18160628967881198,-0.12581,-0.313858,1983127661.25,0.26408051080252964,0.21552684594487367
Albania,1988-1992,50.1095238095238,0.34406780881814547,-0.23946579999999998,-0.3005616,1616922803.76,0.2608418555255483,0.2757009991570048
Albania,1993-1997,113.6502228163992,0.3504808558906135,-0.28848219999999997,-0.289838,2183438006.2,0.24557021014643515,0.27107123843861186
Albania,1998-2002,99.4261904761904,0.43289640200049706,-0.24025219999999997,-0.3779382,3501722224.4,0.27282079664694203,0.2625174188578835
Albania,2003-2007,85.45825417123365,0.469814956150747,-0.2568854,-0.2704692,8084328950.4,0.2596958358994229,0.23727412551345609
Albania,2008-2012,335.876507054107,0.495281837909758,0.21346879999999996,0.1965022,12412620307.8,0.28717402025853084,0.2308756681103245
Albania,2013-2017,456.757571456362,0.5439561917252896,-0.7625567999999999,-0.41134699999999996,12454420354.0,0.2709120283792509,0.22884322635683815
Algeria,1973-1977,276.7333333333331,0.6547033640154789,-0.7405042,-0.17348780000000003,15236600497.8,0.27520515347294855,0.22901721117518653
Algeria,1978-1982,339.3261904761904,0.6051031773484363,-0.9488016,-0.41445419999999994,38301790439.4,0.2891861082862083,0.22422940460866872
Algeria,1983-1987,467.7675324675321,0.6317067847440885,-1.0962118,-0.478603,58175217408.4,0.26408051080252964,0.21552684594487367
Algeria,1988-1992,611.3505050505046,0.613840077960977,-0.5286126,-0.287819,54096864388.4,0.2608418555255483,0.2757009991570048
Algeria,1993-1997,860.743964182408,0.4797058494868891,-0.7466928,-0.6637398,45874487651.4,0.24557021014643515,0.27107123843861186
Algeria,1998-2002,1363.6669300255955,0.4069093943392994,-0.8204288,-0.913791,52624710677.8,0.27282079664694203,0.2625174188578835
Algeria,2003-2007,2970.213530991703,0.37049556003461603,-0.9143508,-0.8766830000000001,101677923276.0,0.2596958358994229,0.23727412551345609
Algeria,2008-2012,5745.139887522527,0.41516572668055807,-1.223476,-0.8166522,175699800000.0,0.28717402025853084,0.2308756681103245
Algeria,2013-2017,9903.69879461798,0.4207752571363006,-1.3228624,-1.70547,183393200000.0,0.2709120283792509,0.22884322635683815
Andorra,1988-1992,1.0,0.0714285714285714,,,972573197.72,0.2608418555255483,0.2757009991570048
Andorra,1993-1997,0.833333333333333,0.1050403964769091,,,1121571300.0,0.24557021014643515,0.27107123843861186
Andorra,1998-2002,3.783333333333333,0.2577031316479991,,,1436738821.4,0.27282079664694203,0.2625174188578835
Andorra,2003-2007,8.709523809523807,0.18172378327417094,,,3165119365.8,0.2596958358994229,0.23727412551345609
Andorra,2008-2012,5.333333333333332,0.29557087365774637,,,3605603945.6,0.28717402025853084,0.2308756681103245
Andorra,2013-2017,16.981902537690004,0.3950514967096902,,,3030448530.0,0.2709120283792509,0.22884322635683815
Angola,1973-1977,18.5,0.3534704851117867,-1.291844,-1.081832,,0.27520515347294855,0.22901721117518653
Angola,1978-1982,3.75,0.1681373174368913,-1.566572,-1.445058,5677156491.0,0.2891861082862083,0.22422940460866872
Angola,1983-1987,8.666666666666666,0.17566785378953398,-1.766632,-0.8761129999999999,6925062495.4,0.26408051080252964,0.21552684594487367
Angola,1988-1992,12.144444444444442,0.27057776463801686,-1.7378900000000002,-0.8681914000000001,9822142013.6,0.2608418555255483,0.2757009991570048
Angola,1993-1997,12.716666666666665,0.22833783164207844,-1.597358,-1.043417,6184122943.6,0.24557021014643515,0.27107123843861186
Angola,1998-2002,25.588095238095224,0.4078310278233209,-1.73012,-1.198445,9202081184.0,0.27282079664694203,0.2625174188578835
Angola,2003-2007,19.209523809523795,0.27096859668690954,-1.2548392,-0.9687496,39196627074.8,0.2596958358994229,0.23727412551345609
Angola,2008-2012,52.41743534243526,0.5336694020858906,-2.161968,-1.0236602000000001,96497654298.8,0.28717402025853084,0.2308756681103245
Angola,2013-2017,110.96427610471483,0.4480152398145143,-1.24797,,124372800000.0,0.2709120283792509,0.22884322635683815
Antarctica,1973-1977,6.0,0.08759822797453387,,,,0.27520515347294855,0.22901721117518653
Antarctica,1978-1982,5.5,0.1905546426233038,,,,0.2891861082862083,0.22422940460866872
Antarctica,1983-1987,1.5,0.09751566938509681,,,,0.26408051080252964,0.21552684594487367
Antarctica,1988-1992,0.499999999999999,0.11469688443834125,,,,0.2608418555255483,0.2757009991570048
Antarctica,1998-2002,1.0,0.0714285714285714,,,,0.27282079664694203,0.2625174188578835
Antarctica,2003-2007,0.333333333333333,0.0714285714285714,,,,0.2596958358994229,0.23727412551345609
Antarctica,2008-2012,2.161111111111111,0.1687610574768802,,,,0.28717402025853084,0.2308756681103245
Antarctica,2013-2017,0.9761904761904749,0.0935538902362063,,,,0.2709120283792509,0.22884322635683815
Antigua & Barbuda,1988-1992,0.5,0.0714285714285714,,,,0.2608418555255483,0.2757009991570048
Antigua & Barbuda,1993-1997,2.0,0.08411608472009369,,,,0.24557021014643515,0.27107123843861186
