discipline,Time_Interval,Papers
Acoustics,1973-1977,5451.0
Addictive Diseases,1973-1977,2510.0
Aerospace Technology,1973-1977,5054.0
Agricult & Food Science,1973-1977,40124.0
Allergy,1973-1977,2485.0
Analytical Chemistry,1973-1977,23875.0
Anatomy & Morphology,1973-1977,3728.0
Anesthesiology,1973-1977,5608.0
Anthropology and Archaeology,1973-1977,5301.0
Applied Chemistry,1973-1977,8300.0
Applied Mathematics,1973-1977,6137.0
Applied Physics,1973-1977,46519.0
Area Studies,1973-1977,4533.0
Arthritis & Rheumatology,1973-1977,2432.0
Astronomy & Astrophysics,1973-1977,17778.0
Behavioral Science & Complementary Psychology,1973-1977,6758.0
Biochemistry & Molecular Biology,1973-1977,80256.0
Biomedical Engineering,1973-1977,3651.0
Biophysics,1973-1977,3452.0
Botany,1973-1977,37872.0
Cancer,1973-1977,17731.0
Cardiovascular System,1973-1977,15416.0
Cellular Biology Cytology & Histology,1973-1977,18027.0
Chemical Engineering,1973-1977,15404.0
Chemical Physics,1973-1977,24088.0
Civil Engineering,1973-1977,4930.0
Clinical Psychology,1973-1977,5821.0
Communication,1973-1977,1923.0
Computers,1973-1977,6941.0
Criminology,1973-1977,2293.0
Dairy & Animal Science,1973-1977,9867.0
Demography,1973-1977,1525.0
Dentistry,1973-1977,10227.0
Dermatology & Venerial Disease,1973-1977,8297.0
Developmental & Child Psychology,1973-1977,5065.0
Earth & planetary Science,1973-1977,20866.0
Ecology,1973-1977,7410.0
Economics,1973-1977,15689.0
Education,1973-1977,16825.0
Electrical Engineering & Electronics,1973-1977,31959.0
Embryology,1973-1977,2255.0
Endocrinology,1973-1977,15608.0
Entomology,1973-1977,11958.0
Environmental & Occupational Health,1973-1977,7649.0
Environmental Science,1973-1977,9251.0
Experimental Psychology,1973-1977,9423.0
Fertility,1973-1977,4580.0
Fine Arts & Architecture,1973-1977,2431.0
Fluids & Plasmas,1973-1977,4919.0
Gastroenterology,1973-1977,8094.0
General & Internal Medicine,1973-1977,100180.0
General Biology,1973-1977,2857.0
General Biomedical Research,1973-1977,69323.0
General Chemistry,1973-1977,79331.0
General Engineering,1973-1977,6691.0
General Mathematics,1973-1977,34171.0
General Physics,1973-1977,66046.0
General Psychology,1973-1977,7361.0
General Social Sciences,1973-1977,7529.0
General Zoology,1973-1977,6945.0
Genetics & Heredity,1973-1977,16081.0
Geography,1973-1977,4061.0
Geology,1973-1977,10476.0
Geriatrics,1973-1977,2526.0
Geriatrics & Gerontology,1973-1977,1434.0
Health Policy & Services,1973-1977,2087.0
Hematology,1973-1977,8268.0
History,1973-1977,8153.0
Human Factors,1973-1977,1251.0
Immunology,1973-1977,25982.0
Industrial Engineering,1973-1977,408.0
Information Science & Library Science,1973-1977,5185.0
Inorganic & Nuclear Chemistry,1973-1977,18683.0
International Relations,1973-1977,3840.0
Language & Linguistics,1973-1977,5524.0
Law,1973-1977,8910.0
Literature,1973-1977,10959.0
Management,1973-1977,16585.0
Marine Biology & Hydrobiology,1973-1977,10774.0
Materials Science,1973-1977,14001.0
Mechanical Engineering,1973-1977,17924.0
Metals & Metallurgy,1973-1977,23601.0
Meteorology & Atmospheric Science,1973-1977,4981.0
Microbiology,1973-1977,18926.0
Microscopy,1973-1977,1503.0
Miscellaneous Biology,1973-1977,1937.0
Miscellaneous Biomedical Research,1973-1977,5003.0
Miscellaneous Clinical Medicine,1973-1977,2760.0
Miscellaneous Engineering & Technology,1973-1977,1975.0
Miscellaneous Humanities,1973-1977,2940.0
Miscellaneous Mathematics,1973-1977,818.0
Miscellaneous Physics,1973-1977,898.0
Miscellaneous Professional Field,1973-1977,2594.0
Miscellaneous Psychology,1973-1977,7122.0
Miscellaneous Social Sciences,1973-1977,4638.0
Miscellaneous Zoology,1973-1977,5569.0
Nephrology,1973-1977,1254.0
Neurology & Neurosurgery,1973-1977,30136.0
Nuclear & Particle Physics,1973-1977,22875.0
Nuclear Technology,1973-1977,9652.0
Nursing,1973-1977,1245.0
Nutrition & Dietetic,1973-1977,6520.0
Obstetrics & Gynecology,1973-1977,9603.0
Oceanography & Limnology,1973-1977,3503.0
Operations Research,1973-1977,2331.0
