Country,Time_Interval,Diversity,Publications,ECI,GDP
Afghanistan,1973-1977,0.419439079000912,29.23333333333333,,2352888872.6
Albania,1973-1977,,,-0.162595,
Algeria,1973-1977,0.6547033640154789,276.7333333333331,-0.7405042,15236600497.8
Andorra,1973-1977,,,,207761444.68
Angola,1973-1977,0.3534704851117867,18.5,-1.291844,
Antarctica,1973-1977,0.0875982279745338,6.0,,
Antigua & Barbuda,1973-1977,,,,
Argentina,1973-1977,0.5953189947485348,4125.544537815123,0.2181498,57073985074.6
Armenia,1973-1977,0.1596962819789643,2.5,,
Australia,1973-1977,0.7514206459657067,33305.58492618486,-0.0323832,92972430352.4
Austria,1973-1977,0.685867189825119,9721.596933621922,1.819032,39853942005.0
Azerbaijan,1973-1977,0.0714285714285714,2.0,,
Bahamas,1973-1977,0.4668880809512596,12.916666666666664,,
Bahrain,1973-1977,0.0714285714285714,1.0,,
Bangladesh,1973-1977,0.4085506358401511,210.09999999999997,-0.5638403999999999,11963159391.4
Barbados,1973-1977,0.3754989127756403,48.08333333333333,,411249219.75
Belgium,1973-1977,0.7567349269845076,13983.532834648988,1.424564,64681771372.4
Belize,1973-1977,0.0714285714285714,1.0,,102836412.096
Benin,1973-1977,0.1613594036848059,10.166666666666666,,636871789.3199999
Bermuda,1973-1977,0.3596411720154552,24.599999999999998,,352080000.0
Bhutan,1973-1977,,,,
Bolivia,1973-1977,0.5173593200409412,43.64285714285713,-0.9639656000000001,2345467266.4
Bosnia & Herzegovina,1973-1977,0.0714285714285714,0.333333333333333,,
Botswana,1973-1977,0.365935541718357,30.333333333333332,,345789759.04
Brazil,1973-1977,0.7022945558451018,4725.480984701568,-0.2993996,127394611546.2
Brunei,1973-1977,0.1416858637545071,5.0,,
Bulgaria,1973-1977,0.4096658435910425,4368.6279968397575,0.7264092,
Burkina Faso,1973-1977,0.3505198936577992,29.499999999999993,,894730603.7
Burma,1973-1977,0.3239541932237484,43.333333333333314,-0.9911823999999999,
Burundi,1973-1977,0.2263801816468067,4.5,,413307661.52000004
Byelarus,1973-1977,0.1371586596310642,2.0,,
Cambodia,1973-1977,0.1106296625844749,3.5,-0.39480600000000005,645671524.85
Cameroon,1973-1977,0.4775160468462902,102.89999999999986,-0.9882394,2641991306.0
Canada,1973-1977,0.8427010042012875,77569.89072675674,0.752923,176750600000.0
Cape Verde,1973-1977,,,,
Central African Republic,1973-1977,0.2348700146392762,11.083333333333332,,377938463.32
Chad,1973-1977,0.1672146056547861,34.083333333333336,,793147961.92
Chile,1973-1977,0.5000155629266758,1816.6321428571391,-0.11057540000000002,12994740276.0
China,1973-1977,0.3930229000559448,353.9380952380952,0.4290142,155007200000.0
Ciskei,1973-1977,,,,
Colombia,1973-1977,0.4356634775161918,403.8166666666664,0.15064119999999998,14119357553.0
Comoros,1973-1977,,,,
Congo,1973-1977,0.5472652441277008,123.99999999999997,,
Cook Islands,1973-1977,0.0714285714285714,1.0,,
Costa Rica,1973-1977,0.29173338096319,258.08333333333314,0.4886602,2128261368.8
Crimea,1973-1977,,,,
