discipline,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Arts,1.0,0.20149253731343283,0.22058823529411764,0.17777777777777778,0.24242424242424243,0.22727272727272727,0.21153846153846154,0.23404255319148937,0.423728813559322,0.24358974358974358,0.09302325581395349,0.3275862068965517,0.3488372093023256,0.3229166666666667
Biology,0.20149253731343283,1.0,0.3880597014925373,0.15671641791044777,0.5,0.6417910447761194,0.16417910447761194,0.5671641791044776,0.3358208955223881,0.34328358208955223,0.06716417910447761,0.3208955223880597,0.17164179104477612,0.5522388059701493
Biomedical Research,0.22058823529411764,0.3880597014925373,1.0,0.1323529411764706,0.46464646464646464,0.3181818181818182,0.07352941176470588,0.425531914893617,0.27941176470588236,0.21794871794871795,0.08823529411764706,0.3088235294117647,0.23529411764705882,0.3541666666666667
Chemistry,0.17777777777777778,0.15671641791044777,0.1323529411764706,1.0,0.10101010101010101,0.21818181818181817,0.5384615384615384,0.06382978723404255,0.11864406779661017,0.38461538461538464,0.5333333333333333,0.1206896551724138,0.044444444444444446,0.11458333333333333
Clinical Medicine,0.24242424242424243,0.5,0.46464646464646464,0.10101010101010101,1.0,0.42727272727272725,0.15151515151515152,0.5959595959595959,0.26262626262626265,0.23232323232323232,0.0707070707070707,0.30303030303030304,0.20202020202020202,0.5151515151515151
Earth and Space,0.22727272727272727,0.6417910447761194,0.3181818181818182,0.21818181818181817,0.42727272727272725,1.0,0.17272727272727273,0.5181818181818182,0.34545454545454546,0.41818181818181815,0.17272727272727273,0.3,0.18181818181818182,0.5454545454545454
Engineering and Technology,0.21153846153846154,0.16417910447761194,0.07352941176470588,0.5384615384615384,0.15151515151515152,0.17272727272727273,1.0,0.0851063829787234,0.1864406779661017,0.4230769230769231,0.38461538461538464,0.20689655172413793,0.057692307692307696,0.16666666666666666
Health,0.23404255319148937,0.5671641791044776,0.425531914893617,0.06382978723404255,0.5959595959595959,0.5181818181818182,0.0851063829787234,1.0,0.3829787234042553,0.20212765957446807,0.05319148936170213,0.43617021276595747,0.24468085106382978,0.7083333333333334
Humanities,0.423728813559322,0.3358208955223881,0.27941176470588236,0.11864406779661017,0.26262626262626265,0.34545454545454546,0.1864406779661017,0.3829787234042553,1.0,0.3333333333333333,0.1016949152542373,0.5254237288135594,0.3050847457627119,0.46875
Mathematics,0.24358974358974358,0.34328358208955223,0.21794871794871795,0.38461538461538464,0.23232323232323232,0.41818181818181815,0.4230769230769231,0.20212765957446807,0.3333333333333333,1.0,0.3333333333333333,0.19230769230769232,0.07692307692307693,0.3020833333333333
Physics,0.09302325581395349,0.06716417910447761,0.08823529411764706,0.5333333333333333,0.0707070707070707,0.17272727272727273,0.38461538461538464,0.05319148936170213,0.1016949152542373,0.3333333333333333,1.0,0.06896551724137931,0.08571428571428572,0.09375
Professional Fields,0.3275862068965517,0.3208955223880597,0.3088235294117647,0.1206896551724138,0.30303030303030304,0.3,0.20689655172413793,0.43617021276595747,0.5254237288135594,0.19230769230769232,0.06896551724137931,1.0,0.3448275862068966,0.5
Psychology,0.3488372093023256,0.17164179104477612,0.23529411764705882,0.044444444444444446,0.20202020202020202,0.18181818181818182,0.057692307692307696,0.24468085106382978,0.3050847457627119,0.07692307692307693,0.08571428571428572,0.3448275862068966,1.0,0.2604166666666667
Social Sciences,0.3229166666666667,0.5522388059701493,0.3541666666666667,0.11458333333333333,0.5151515151515151,0.5454545454545454,0.16666666666666666,0.7083333333333334,0.46875,0.3020833333333333,0.09375,0.5,0.2604166666666667,1.0
